provinsi	baseline_area	area_2024	growth_since_start(percentage)
PAPUA SELATAN	15.32	408.72	2567.9
KALIMANTAN BARAT	4721.73	19449.93	311.9
SULAWESI BARAT	2297.16	6019.31	162
BENGKULU	4145.68	9861.27	137.9
RIAU	138.92	327.17	135.5
SUMATERA UTARA	135334.39	210586.1	55.6
SUMATERA SELATAN	35073.88	53171.15	51.6
KALIMANTAN TENGAH	5816.31	8555.57	47.1
MALUKU UTARA	928	1316.6	41.9
JAMBI	1111	1514.03	36.3
JAWA BARAT	59430.55	77992.51	31.2
SULAWESI TENGAH	14648.4	19061.15	30.1
SUMATERA BARAT	65756.37	83918.48	27.6
DI YOGYAKARTA	31380.87	37546.96	19.7
NUSA TENGGARA BARAT	145562.61	173759.8	19.4
JAWA TENGAH	377065.18	412338.4	9.4
LAMPUNG	156654.98	170016.6	8.5
JAWA TIMUR	722182.15	739157.3	2.4
GORONTALO	125415.3	128230.6	2.2
NUSA TENGGARA TIMUR	107094.89	108816.1	1.6
BALI	7927.98	7669.79	-3.3
KEP. RIAU	2.75	2.49	-9.5
SULAWESI SELATAN	213791.89	191012.1	-10.7
ACEH	11581.2	10090.26	-12.9
PAPUA BARAT DAYA	274.82	228.28	-16.9
SULAWESI TENGGARA	25124.41	20135	-19.9
PAPUA PEGUNUNGAN	66.31	48.23	-27.3
KALIMANTAN UTARA	292.82	209.95	-28.3
BANTEN	2945.5	2112	-28.3
SULAWESI UTARA	42343.67	30190.23	-28.7
KALIMANTAN SELATAN	28796.76	18766.21	-34.8
PAPUA TENGAH	2092.54	1243.9	-40.6
PAPUA BARAT	1340.64	748.73	-44.2
MALUKU	4324.52	2239.28	-48.2
KALIMANTAN TIMUR	1989.07	919.3	-53.8
PAPUA	2617.97	990.34	-62.2
KEP. BANGKA BELITUNG	28.73	0	-100
