provinsi,baseline_yield,yield_2024,growth_since_start
PAPUA BARAT,0.38,0.50,31.58
KEP. BANGKA BELITUNG,0.44,0.57,29.55
KALIMANTAN UTARA,0.40,0.50,25.00
PAPUA PEGUNUNGAN,0.42,0.51,21.43
NUSA TENGGARA BARAT,0.59,0.70,18.64
BALI,0.44,0.51,15.91
SULAWESI SELATAN,0.51,0.59,15.69
PAPUA SELATAN,0.45,0.51,13.33
NUSA TENGGARA TIMUR,0.24,0.27,12.50
BENGKULU,0.57,0.64,12.28
SUMATERA UTARA,0.58,0.65,12.07
KALIMANTAN SELATAN,0.53,0.58,9.43
KALIMANTAN BARAT,0.43,0.47,9.30
JAWA TIMUR,0.57,0.62,8.77
SUMATERA SELATAN,0.60,0.64,6.67
GORONTALO,0.46,0.49,6.52
LAMPUNG,0.62,0.65,4.84
RIAU,0.34,0.35,2.94
JAWA BARAT,0.70,0.72,2.86
SULAWESI TENGGARA,0.39,0.40,2.56
SULAWESI BARAT,0.49,0.50,2.04
PAPUA BARAT DAYA,0.51,0.52,1.96
JAMBI,0.69,0.70,1.45
SULAWESI TENGAH,0.45,0.45,0.00
JAWA TENGAH,0.60,0.59,-1.67
KALIMANTAN TENGAH,0.53,0.52,-1.89
MALUKU,0.35,0.34,-2.86
SUMATERA BARAT,0.65,0.62,-4.62
PAPUA TENGAH,0.43,0.41,-4.65
ACEH,0.55,0.52,-5.45
PAPUA,0.43,0.40,-6.98
DI YOGYAKARTA,0.54,0.50,-7.41
SULAWESI UTARA,0.41,0.37,-9.76
KEP. RIAU,0.55,0.48,-12.73
BANTEN,0.69,0.60,-13.04
MALUKU UTARA,0.41,0.34,-17.07
KALIMANTAN TIMUR,0.53,0.43,-18.87
